,Serving,Win,Service,dir_srv,Surface,isAce,count
125,Receiving,Win,2nd,Down the T,Hard,False,1
126,Receiving,Loss,1st,Down the T,Hard,False,1
127,Receiving,Win,2nd,Wide,Hard,False,1
128,Receiving,Loss,1st,Down the T,Hard,False,1
129,Receiving,Loss,1st,Wide,Hard,False,1
130,Serving,Loss,2nd,Down the T,Hard,False,1
131,Serving,Win,1st,Wide,Hard,False,1
132,Serving,Win,1st,Wide,Hard,False,1
133,Serving,Win,1st,Wide,Hard,False,1
134,Serving,Loss,2nd,Wide,Hard,False,1
135,Serving,Win,1st,Down the T,Hard,False,1
136,Receiving,Win,2nd,Body,Hard,False,1
137,Receiving,Win,1st,Wide,Hard,False,1
138,Receiving,Win,1st,Down the T,Hard,False,1
139,Receiving,Win,2nd,Body,Hard,False,1
140,Serving,Loss,2nd,Wide,Hard,False,1
141,Serving,Win,1st,Down the T,Hard,False,1
142,Serving,Loss,1st,Down the T,Hard,False,1
143,Serving,Win,1st,Wide,Hard,False,1
144,Serving,Loss,1st,Wide,Hard,False,1
146,Receiving,Win,2nd,Body,Hard,False,1
147,Receiving,Win,2nd,Wide,Hard,False,1
148,Receiving,Loss,2nd,Body,Hard,False,1
149,Receiving,Loss,1st,Down the T,Hard,True,1
150,Receiving,Loss,1st,Down the T,Hard,True,1
151,Receiving,Loss,2nd,Down the T,Hard,False,1
152,Serving,Loss,1st,Wide,Hard,False,1
153,Serving,Win,1st,Down the T,Hard,False,1
154,Serving,Win,1st,Wide,Hard,True,1
155,Serving,Win,1st,Wide,Hard,False,1
156,Serving,Loss,2nd,Body,Hard,False,1
157,Serving,Win,1st,Body,Hard,False,1
158,Receiving,Loss,1st,Wide,Hard,True,1
159,Receiving,Win,1st,Down the T,Hard,False,1
160,Receiving,Loss,1st,Wide,Hard,False,1
161,Receiving,Win,2nd,Wide,Hard,False,1
162,Receiving,Loss,2nd,Body,Hard,False,1
163,Receiving,Loss,1st,Wide,Hard,False,1
164,Serving,Win,1st,Down the T,Hard,False,1
165,Serving,Win,2nd,Down the T,Hard,False,1
166,Serving,Win,1st,Wide,Hard,False,1
168,Receiving,Loss,2nd,Body,Hard,False,1
169,Receiving,Win,2nd,Body,Hard,False,1
170,Receiving,Win,2nd,Body,Hard,False,1
171,Receiving,Loss,1st,Down the T,Hard,False,1
172,Receiving,Loss,1st,Down the T,Hard,True,1
173,Receiving,Loss,2nd,Body,Hard,False,1
174,Serving,Win,1st,Wide,Hard,True,1
175,Serving,Win,2nd,Body,Hard,False,1
176,Serving,Loss,1st,Wide,Hard,False,1
177,Serving,Win,1st,Body,Hard,False,1
178,Serving,Win,1st,Down the T,Hard,True,1
179,Receiving,Loss,1st,Wide,Hard,False,1
180,Serving,Win,1st,Body,Hard,False,1
181,Serving,Win,1st,Down the T,Hard,True,1
182,Receiving,Loss,1st,Down the T,Hard,False,1
183,Receiving,Win,1st,Wide,Hard,False,1
184,Serving,Loss,2nd,Down the T,Hard,False,1
185,Serving,Win,1st,Down the T,Hard,True,1
186,Receiving,Loss,1st,Wide,Hard,False,1
187,Receiving,Loss,1st,Wide,Hard,True,1
188,Serving,Win,1st,Wide,Hard,False,1
189,Serving,Win,1st,Wide,Hard,False,1
190,Receiving,Win,1st,Wide,Hard,False,1
191,Serving,Loss,1st,Wide,Hard,False,1
192,Serving,Loss,1st,Down the T,Hard,False,1
193,Serving,Win,2nd,Body,Hard,False,1
194,Serving,Loss,1st,Down the T,Hard,False,1
195,Serving,Loss,1st,Wide,Hard,False,1
196,Receiving,Loss,1st,Down the T,Hard,False,1
197,Receiving,Loss,1st,Down the T,Hard,False,1
198,Receiving,Win,2nd,Body,Hard,False,1
199,Receiving,Loss,2nd,Body,Hard,False,1
200,Receiving,Loss,1st,Wide,Hard,True,1
201,Serving,Win,1st,Down the T,Hard,False,1
202,Serving,Win,2nd,Down the T,Hard,False,1
203,Serving,Win,1st,Wide,Hard,False,1
204,Serving,Win,1st,Wide,Hard,False,1
205,Receiving,Loss,1st,Body,Hard,False,1
206,Receiving,Loss,2nd,Down the T,Hard,False,1
207,Receiving,Loss,1st,Wide,Hard,True,1
208,Receiving,Loss,1st,Body,Hard,False,1
209,Serving,Win,2nd,Wide,Hard,False,1
210,Serving,Win,1st,Wide,Hard,False,1
211,Serving,Win,1st,Wide,Hard,False,1
212,Serving,Win,2nd,Body,Hard,False,1
213,Receiving,Loss,1st,Down the T,Hard,False,1
214,Receiving,Loss,1st,Down the T,Hard,False,1
215,Receiving,Win,1st,Down the T,Hard,False,1
216,Receiving,Loss,1st,Body,Hard,False,1
217,Receiving,Loss,1st,Wide,Hard,True,1
218,Serving,Win,2nd,Down the T,Hard,False,1
219,Serving,Win,2nd,Down the T,Hard,False,1
220,Serving,Loss,2nd,Wide,Hard,False,1
221,Serving,Loss,2nd,Down the T,Hard,False,1
222,Serving,Win,1st,Wide,Hard,False,1
223,Serving,Win,1st,Wide,Hard,False,1
224,Receiving,Win,2nd,Body,Hard,False,1
225,Receiving,Win,1st,Wide,Hard,False,1
226,Receiving,Loss,1st,Wide,Hard,False,1
227,Receiving,Loss,1st,Wide,Hard,False,1
228,Receiving,Loss,1st,Wide,Hard,False,1
229,Receiving,Loss,2nd,Down the T,Hard,False,1
230,Serving,Loss,1st,Wide,Hard,False,1
231,Serving,Loss,1st,Down the T,Hard,False,1
232,Serving,Win,1st,Down the T,Hard,False,1
233,Serving,Win,1st,Down the T,Hard,False,1
234,Serving,Win,1st,Wide,Hard,True,1
235,Serving,Loss,1st,Wide,Hard,False,1
236,Serving,Win,2nd,Body,Hard,False,1
237,Serving,Win,2nd,Wide,Hard,False,1
238,Receiving,Loss,1st,Down the T,Hard,True,1
239,Receiving,Win,1st,Body,Hard,False,1
240,Receiving,Loss,1st,Down the T,Hard,True,1
241,Receiving,Win,1st,Down the T,Hard,False,1
242,Receiving,Win,1st,Down the T,Hard,False,1
243,Receiving,Win,2nd,Wide,Hard,False,1
245,Serving,Win,1st,Wide,Hard,False,1
246,Serving,Win,1st,Down the T,Hard,False,1
247,Serving,Win,1st,Wide,Hard,False,1
248,Serving,Win,2nd,Down the T,Hard,False,1
249,Receiving,Loss,1st,Wide,Hard,True,1
250,Receiving,Loss,1st,Wide,Hard,False,1
251,Receiving,Win,2nd,Body,Hard,False,1
252,Receiving,Loss,1st,Wide,Hard,False,1
253,Receiving,Win,2nd,Body,Hard,False,1
254,Receiving,Loss,1st,Down the T,Hard,False,1
255,Serving,Win,1st,Down the T,Hard,False,1
256,Receiving,Win,2nd,Wide,Hard,False,1
257,Receiving,Loss,1st,Down the T,Hard,True,1
258,Serving,Loss,1st,Wide,Hard,False,1
259,Serving,Win,1st,Wide,Hard,False,1
260,Receiving,Loss,1st,Down the T,Hard,False,1
