,index,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stIn,2ndIn,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,PtWinner,isSvrWinner,rallyCount,Date,Tournament,Round,Surface,Player 1,Player 2,Grand Slam,i_serve,i_win,is_second_service,dir_srv,rally_desc,rally_tratada,how_ended,serve_return
0,637,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,1,0,0,0,0,0-0,1 (1),1,0,,1,2,ND,4n,4f18f3s2f1f3b3n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,4,f18 f3 s2 f1 f3 b3,3,@,f18
13,650,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,14,0,0,1,1,0-0,3 (1),1,0,,1,2,ND,4r37b+3m2o2b2f3w@,,,0,,1,,False,False,False,0,1,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,r37 b3 m2 o2 b2 f3,3,@,r37
14,651,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,15,0,0,1,1,0-15,3 (2),1,0,,1,2,ND,4n,5b28f3b2f3b3f2f2f3s1f1f1f3s3b3b1f2f3b3s3f1f1f1r2y1n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,24,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,b28 f3 b2 f3 b3 f2 f2 f3 s1 f1 f1 f3 s3 b3 b1 f2 f3 b3 s3 f1 f1 f1 r2 y1,12,@,b28
33,670,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,34,0,0,3,3,30-0,7 (3),1,0,,1,2,ND,4f17f+3s3z1w#,,,0,,1,,False,False,False,1,0,False,2,0,4,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,f17 f3 s3 z1,2,#,f17
54,691,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,55,0,0,5,5,15-0,11 (2),1,0,,1,2,ND,4s37b+3b1*,,,0,,1,,False,False,True,0,0,False,2,0,4,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,s37 b3 b1,2,*,s37
66,703,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,67,1,0,0,0,30-0,13 (3),1,0,,1,2,ND,4n,5f28f3s3f+1f1h3n#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,f28 f3 s3 f1 f1 h3,3,#,f28
84,721,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,85,1,0,3,1,15-0,17 (2),1,0,,1,2,ND,6n,5f38b3b3b1f2b3d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,f38 b3 b3 b1 f2 b3,3,@,f38
96,733,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,97,1,0,4,2,30-0,19 (3),1,0,,1,2,ND,4w,5b28f1f1f3b2f1f1f3w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,8,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,b28 f1 f1 f3 b2 f1 f1 f3,4,@,b28
98,735,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,99,1,0,4,2,40-15,19 (5),1,0,,1,2,ND,4r38b3s3b1w@,,,0,,1,,False,False,False,0,1,False,2,0,4,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,r38 b3 s3 b1,2,@,r38
106,743,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,107,1,0,5,3,0-0,21 (1),1,0,,1,2,ND,4r27f3x@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,r27 f3,1,@,r27
109,746,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,110,1,0,5,3,30-15,21 (4),1,0,,1,2,ND,6r27f3n@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,6,r27 f3,1,@,r27
130,767,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,19,0,0,2,1,0-0,4 (1),1,0,,2,1,ND,4n,6b28f3w@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,6,b28 f3,1,@,b28
134,771,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,23,0,0,2,1,40-15,4 (5),1,0,,2,1,ND,6w,4f18f3b1f3b2b3b3b2f1f2f3*,,0,0.0,0,1.0,False,False,True,0,0,False,1,0,12,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,4,f18 f3 b1 f3 b2 b3 b3 b2 f1 f2 f3,6,*,f18
140,777,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,29,0,0,2,3,0-0,6 (1),1,0,,2,1,ND,6d,4f28f1f1f2d@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,4,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,4,f28 f1 f1 f2,2,@,f28
142,779,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,31,0,0,2,3,15-15,6 (3),1,0,,2,1,ND,6s39f3b2s2f3b3b1f1w#,,,0,,1,,False,False,False,1,0,False,1,0,8,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,6,s39 f3 b2 s2 f3 b3 b1 f1,4,#,s39
144,781,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,33,0,0,2,3,30-30,6 (5),1,0,,2,1,ND,4f28b2b2f3b3b2f2f3n@,,,0,,1,,False,False,False,0,1,False,1,0,8,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,f28 b2 b2 f3 b3 b2 f2 f3,4,@,f28
152,789,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,41,0,0,4,3,0-0,8 (1),1,0,,2,1,ND,4f28b2n@,,,0,,1,,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,f28 b2,1,@,f28
156,793,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,45,0,0,4,3,40-15,8 (5),1,0,,2,1,ND,6n,5b18f2f3b2b;2f2b2b3b2b1w@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,10,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,5,b18 f2 f3 b2 b2 f2 b2 b3 b2 b1,5,@,b18
176,813,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,65,0,0,6,5,30-0,12 (3),1,0,,2,1,ND,4f37s3b1*,,,0,,1,,False,False,True,0,0,False,1,0,4,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,f37 s3 b1,2,*,f37
184,821,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,73,0,0,6,6,3-2,13 (6),1,1,6.0,2,1,ND,4n,6f38b1f1f3n@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,4,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,6,f38 b1 f1 f3,2,@,f38
191,828,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,80,0,1,0,0,0-0,14 (1),1,0,,2,1,ND,4f18f3b2y1f1f2z3*,,,0,,1,,False,False,True,0,0,False,1,0,8,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,f18 f3 b2 y1 f1 f2 z3,4,*,f18
192,829,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,81,0,1,0,0,0-15,14 (2),1,0,,2,1,ND,6r28f1f2f1w@,,,0,,1,,False,False,False,0,1,False,1,0,4,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,6,r28 f1 f2 f1,2,@,r28
194,831,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,83,0,1,0,0,15-30,14 (4),1,0,,2,1,ND,6f28b3b3b1f1f2f1f1f1r2b+3s3n#,,,0,,1,,False,False,False,1,0,False,1,0,12,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,6,f28 b3 b3 b1 f1 f2 f1 f1 f1 r2 b3 s3,6,#,f28
195,832,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,84,0,1,0,0,15-40,14 (5),1,0,,2,1,ND,4r28b3b3b1d@,,,0,,1,,False,False,False,0,1,False,1,0,4,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,r28 b3 b3 b1,2,@,r28
220,857,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,109,0,1,4,2,30-0,20 (3),1,0,,2,1,ND,4w,4f18f3w@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,4,f18 f3,1,@,f18
230,867,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,119,0,1,5,3,0-0,22 (1),1,0,,2,1,ND,4+f28i3n@,,,1,,1,,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,f28 i3,1,@,f28
231,868,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,120,0,1,5,3,0-15,22 (2),1,0,,2,1,ND,6f29f2d@,,,0,,1,,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,6,f29 f2,1,@,f29
235,872,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,124,0,1,5,3,40-30,22 (6),1,0,,2,1,ND,4b29f2n#,,,0,,1,,False,False,False,1,0,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,b29 f2,1,#,b29
258,895,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,147,0,1,6,6,2-1,26 (4),1,1,4.0,2,1,ND,4b39f3b3b3b1*,,,0,,1,,False,False,True,0,0,False,1,0,6,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,0,4,b39 f3 b3 b3 b1,3,*,b39
266,903,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,155,0,1,6,6,6-5,26 (12),1,1,12.0,2,1,ND,6n,6f27b2d@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,6,f27 b2,1,@,f27
270,1003,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,2,0,0,0,0,15-0,1 (2),1,0,,1,2,ND,6f39b2n#,,,0,,1,,False,False,False,1,0,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,6,f39 b2,1,#,f39
272,1005,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,4,0,0,0,0,30-15,1 (4),1,0,,1,2,ND,6f28s2b2f3b3b3b3s2s2b1f2f3w@,,,0,,1,,False,False,False,0,1,False,2,0,12,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,6,f28 s2 b2 f3 b3 b3 b3 s2 s2 b1 f2 f3,6,@,f28
274,1007,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,6,0,0,0,0,40-30,1 (6),1,0,,1,2,ND,6w,5b28f1f1f2b2f3b3b2f1f2b;2s+3s1v3b3z2f-1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,18,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b28 f1 f1 f2 b2 f3 b3 b2 f1 f2 b2 s3 s1 v3 b3 z2 f1,9,*,b28
317,1050,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,49,0,0,3,3,30-0,7 (3),1,0,,1,2,ND,6d,4f;28f1w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,f28 f1,1,@,f28
318,1051,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,50,0,0,3,3,30-15,7 (4),1,0,,1,2,ND,4w,5b29f3b3f3b3b3b3b2b3b3d#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,10,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b29 f3 b3 f3 b3 b3 b3 b2 b3 b3,5,#,b29
333,1066,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,65,0,0,5,3,30-0,9 (3),1,0,,1,2,ND,6n,5b19*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b19,1,*,b19
335,1068,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,67,0,0,5,3,40-15,9 (5),1,0,,1,2,ND,4n,4f29f2f3b2f1f2s2f+1f2v^1n#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,10,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,f29 f2 f3 b2 f1 f2 s2 f1 f2 v1,5,#,f29
342,1075,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,74,1,0,0,1,0-0,11 (1),1,0,,1,2,ND,4n,5b29b2b3s3n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b29 b2 b3 s3,2,@,b29
359,1092,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,91,1,0,1,2,30-0,13 (3),1,0,,1,2,ND,4f18f2d@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,f18 f2,1,@,f18
393,1126,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,125,1,0,4,5,0-0,19 (1),1,0,,1,2,ND,4f29f3b3y1n@,,Medical Timeout Djokovic,0,,1,,False,False,False,0,1,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,f29 f3 b3 y1,2,@,f29
396,1129,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,128,1,0,4,5,30-15,19 (4),1,0,,1,2,ND,5f28f3b3f1n#,,,0,,1,,False,False,False,1,0,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,5,f28 f3 b3 f1,2,#,f28
397,1130,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,129,1,0,4,5,30-30,19 (5),1,0,,1,2,ND,5d,4f38b3b3b1f1f3d#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,6,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,f38 b3 b3 b1 f1 f3,3,#,f38
399,1132,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,131,1,0,4,5,40-40,19 (7),1,0,,1,2,ND,6d,4f19f2b1f2n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,f19 f2 b1 f2,2,@,f19
401,1134,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,133,1,0,4,5,40-40,19 (9),1,0,,1,2,ND,6b18f1f3s3b3b1w@,,,0,,1,,False,False,False,0,1,False,2,0,6,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,6,b18 f1 f3 s3 b3 b1,3,@,b18
413,1146,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,145,1,0,5,6,30-0,21 (3),1,0,,1,2,ND,4n,5b27b1f3b3d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b27 b1 f3 b3,2,@,b27
417,1150,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,149,1,0,6,6,1-0,22 (2),1,1,2.0,1,2,ND,6f29f1f1f2b1f2y1r-3d@,,,0,,1,,False,False,False,0,1,False,2,0,8,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,6,f29 f1 f1 f2 b1 f2 y1 r3,4,@,f29
426,1159,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,158,1,0,6,6,5-5,22 (11),1,1,11.0,1,2,ND,4f28f+3s2v3b1v3n#,,,0,,1,,False,False,False,1,0,False,2,0,6,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,f28 f3 s2 v3 b1 v3,3,#,f28
430,1163,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,162,1,1,0,0,30-0,23 (3),1,0,,1,2,ND,4+f28v3d@,,,1,,1,,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,f28 v3,1,@,f28
431,1164,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,163,1,1,0,0,30-15,23 (4),1,0,,1,2,ND,6d,5b38b1w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b38 b1,1,@,b38
433,1166,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,165,1,1,0,0,40-30,23 (6),1,0,,1,2,ND,4d,6f29b2b1f2f2b1f1f2b2b3s3b3b3b3b3b1f3b2n#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,18,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,6,f29 b2 b1 f2 f2 b1 f1 f2 b2 b3 s3 b3 b3 b3 b3 b1 f3 b2,9,#,f29
453,1186,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,185,1,1,2,2,15-0,27 (2),1,0,,1,2,ND,4n,6f28b1w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,6,f28 b1,1,@,f28
454,1187,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,186,1,1,2,2,15-15,27 (3),1,0,,1,2,ND,6d,4f28f2b3y2n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,f28 f2 b3 y2,2,@,f28
463,1196,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,195,1,1,3,3,15-0,29 (2),1,0,,1,2,ND,4b29f1f2b2b3b;1w#,,,0,,1,,False,False,False,1,0,False,2,0,6,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,b29 f1 f2 b2 b3 b1,3,#,b29
465,1198,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,197,1,1,3,3,30-15,29 (4),1,0,,1,2,ND,4b38f3w@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,b38 f3,1,@,b38
480,1213,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,212,1,1,4,4,30-0,31 (3),1,0,,1,2,ND,4+f27v^3b-3*,,,1,,1,,False,False,True,0,0,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,f27 v3 b3,2,*,f27
481,1214,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,213,1,1,4,4,30-15,31 (4),1,0,,1,2,ND,4n,6f28f3w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,6,f28 f3,1,@,f28
483,1216,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,215,1,1,4,4,40-30,31 (6),1,0,,1,2,ND,6d,5f28b3b3s3f3s3s1f1f1f3b3b2f3b3b1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,16,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,f28 b3 b3 s3 f3 s3 s1 f1 f1 f3 b3 b2 f3 b3 b1,8,*,f28
485,1218,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,217,1,1,4,4,AD-40,31 (8),1,0,,1,2,ND,6n,5b29b3b3b3b3b2b3b3b2f3n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,10,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b29 b3 b3 b3 b3 b2 b3 b3 b2 f3,5,@,b29
487,1220,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,219,1,1,4,4,AD-40,31 (10),1,0,,1,2,ND,6w,6f29f1f1f3b3b3b3b1f2b3b3s1f1f1f1f1n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,16,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,6,f29 f1 f1 f3 b3 b3 b3 b1 f2 b3 b3 s1 f1 f1 f1 f1,8,@,f29
489,1222,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,221,1,1,4,4,AD-40,31 (12),1,0,,1,2,ND,4d,6f19f1w#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,6,f19 f1,1,#,f19
491,1224,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,223,1,1,4,4,AD-40,31 (14),1,0,,1,2,ND,5d,4b27f1f2b2d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,b27 f1 f2 b2,2,@,b27
492,1225,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,224,1,1,4,4,40-40,31 (15),1,0,,1,2,ND,6+s27v3w@,,,1,,1,,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,6,s27 v3,1,@,s27
497,1230,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,229,1,1,4,4,AD-40,31 (20),1,0,,1,2,ND,4b38b1d@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,b38 b1,1,@,b38
498,1231,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,230,1,1,4,4,40-40,31 (21),1,0,,1,2,ND,4f18f3d#,,,0,,1,,False,False,False,1,0,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,4,f18 f3,1,#,f18
499,1232,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,231,1,1,4,4,40-AD,31 (22),1,0,,1,2,ND,6r28f1w@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,0,6,r28 f1,1,@,r28
505,1238,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,237,1,1,5,5,0-0,33 (1),1,0,,1,2,ND,4x,5b17f1f3b2b3s2r-3b2z2l3o-2*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,12,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,5,b17 f1 f3 b2 b3 s2 r3 b2 z2 l3 o2,6,*,b17
506,1239,20221118-M-Tour_Finals-RR-Novak_Djokovic-Daniil_Medvedev,238,1,1,5,5,0-15,33 (2),1,0,,1,2,ND,4d,4b28f2f1f2b2b2b2f1f3b3w#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,10,20221118,Tour Finals,RR,Hard,Novak Djokovic,Daniil Medvedev,0,0,1,1,4,b28 f2 f1 f2 b2 b2 b2 f1 f3 b3,5,#,b28
529,1262,20221116-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,4,0,0,0,0,40-0,1 (4),1,0,,1,2,ND,6w,4b39b1d#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,2,20221116,Tour Finals,RR,Hard,Novak Djokovic,Andrey Rublev,0,0,1,1,4,b39 b1,1,#,b39
555,1288,20221116-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,30,0,0,3,3,15-0,7 (2),1,0,,1,2,ND,4w,6f29f3b3b2f1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20221116,Tour Finals,RR,Hard,Novak Djokovic,Andrey Rublev,0,0,1,1,6,f29 f3 b3 b2 f1,3,*,f29
568,1301,20221116-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,43,0,0,4,4,15-0,9 (2),1,0,,1,2,ND,4x,6f28f3s3f2f3b2n#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,6,20221116,Tour Finals,RR,Hard,Novak Djokovic,Andrey Rublev,0,0,1,1,6,f28 f3 s3 f2 f3 b2,3,#,f28
581,1314,20221116-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,56,1,0,0,0,15-0,11 (2),1,0,,1,2,ND,4b29f2f1f3b3b2d#,,,0,,1,,False,False,False,1,0,False,2,0,6,20221116,Tour Finals,RR,Hard,Novak Djokovic,Andrey Rublev,0,0,1,0,4,b29 f2 f1 f3 b3 b2,3,#,b29
582,1315,20221116-M-Tour_Finals-RR-Novak_Djokovic-Andrey_Rublev,57,1,0,0,0,15-15,11 (3),1,0,,1,2,ND,4n,4f28f2b1f2f+3m2o-2*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,8,20221116,Tour Finals,RR,Hard,Novak Djokovic,Andrey Rublev,0,0,1,1,4,f28 f2 b1 f2 f3 m2 o2,4,*,f28
